post_title,sku,images
"Bồn nước inox 304 700L đứng Toàn Mỹ TM304-700Đ",TM304-700Đ,"https://dev.vuahoanthien.com/wp-content/uploads/2022/12/bon-nuoc-inox-toan-my-700l-dung-740x740-1.png ! alt :  ! title : bon-nuoc-inox-toan-my-700l-dung-740x740-1.png ! desc :  ! caption :  | https://dev.vuahoanthien.com/wp-content/uploads/2022/12/bon-nuoc-inox-toan-my-700l-dung-740x740-1.jpg ! alt :  ! title : bon-nuoc-inox-toan-my-700l-dung-740x740-1.jpg ! desc :  ! caption :  | https://dev.vuahoanthien.com/wp-content/uploads/2022/12/ban-ve-bon-inox-toan-my-700l-740x740-1.jpg ! alt :  ! title : ban-ve-bon-inox-toan-my-700l-740x740-1.jpg ! desc :  ! caption : "
"Bồn nước inox 304 1000L đứng Toàn Mỹ TM304-1000Đ",TM304-1000Đ,
"Bồn nước inox 304 1500L đứng Toàn Mỹ TM304-1500Đ",TM304-1500Đ,"https://dev.vuahoanthien.com/wp-content/uploads/2022/12/bon-nuoc-inox-toan-my-1500l-dung-740x740-1.png ! alt :  ! title : bon-nuoc-inox-toan-my-1500l-dung-740x740-1.png ! desc :  ! caption :  | https://dev.vuahoanthien.com/wp-content/uploads/2022/12/bon-nuoc-inox-toan-my-1500l-dung-740x740-1.jpg ! alt :  ! title : bon-nuoc-inox-toan-my-1500l-dung-740x740-1.jpg ! desc :  ! caption :  | https://dev.vuahoanthien.com/wp-content/uploads/2022/12/ban-ve-bon-inox-toan-my-1500l-740x740-1.jpg ! alt :  ! title : ban-ve-bon-inox-toan-my-1500l-740x740-1.jpg ! desc :  ! caption : "
"Bồn nước inox 304 2000L (ĐK 1150) đứng Toàn Mỹ TM304-2000Đ-1150",TM304-2000Đ-1150,"https://dev.vuahoanthien.com/wp-content/uploads/2022/12/bon-nuoc-inox-toan-my-2000l-dung-740x740-1.png ! alt :  ! title : bon-nuoc-inox-toan-my-2000l-dung-740x740-1.png ! desc :  ! caption :  | https://dev.vuahoanthien.com/wp-content/uploads/2022/12/bon-nuoc-inox-toan-my-2000l-dung-740x740-1.jpg ! alt :  ! title : bon-nuoc-inox-toan-my-2000l-dung-740x740-1.jpg ! desc :  ! caption :  | https://dev.vuahoanthien.com/wp-content/uploads/2022/12/ban-ve-bon-inox-toan-my-2000l-740x740-1.jpg ! alt :  ! title : ban-ve-bon-inox-toan-my-2000l-740x740-1.jpg ! desc :  ! caption : "
"Bồn nước inox 304 2000L (ĐK 1420) đứng Toàn Mỹ TM304-2000Đ-1420",TM304-2000Đ-1420,"https://dev.vuahoanthien.com/wp-content/uploads/2022/12/bon-nuoc-inox-toan-my-2000l-dung-lun-740x740-1.png ! alt :  ! title : bon-nuoc-inox-toan-my-2000l-dung-lun-740x740-1.png ! desc :  ! caption :  | https://dev.vuahoanthien.com/wp-content/uploads/2022/12/bon-nuoc-inox-toan-my-2000l-dung-lun-740x740-1.jpg ! alt :  ! title : bon-nuoc-inox-toan-my-2000l-dung-lun-740x740-1.jpg ! desc :  ! caption :  | https://dev.vuahoanthien.com/wp-content/uploads/2022/12/ban-ve-bon-inox-toan-my-2000l-dung-lun-740x740-1.jpg ! alt :  ! title : ban-ve-bon-inox-toan-my-2000l-dung-lun-740x740-1.jpg ! desc :  ! caption : "
"Bồn nước inox 304 2500L (ĐK 1150) đứng Toàn Mỹ TM304-2500Đ-1150",TM304-2500Đ-1150,
"Bồn nước inox 304 2500L (ĐK 1420) đứng Toàn Mỹ TM304-2500Đ-1420",TM304-2500Đ-1420,"https://dev.vuahoanthien.com/wp-content/uploads/2022/12/bon-nuoc-inox-toan-my-2500l-dung-740x740-1.png ! alt :  ! title : bon-nuoc-inox-toan-my-2500l-dung-740x740-1.png ! desc :  ! caption :  | https://dev.vuahoanthien.com/wp-content/uploads/2022/12/bon-nuoc-inox-toan-my-2500l-dung-740x740-1.jpg ! alt :  ! title : bon-nuoc-inox-toan-my-2500l-dung-740x740-1.jpg ! desc :  ! caption :  | https://dev.vuahoanthien.com/wp-content/uploads/2022/12/ban-ve-bon-inox-toan-my-2500l-dung-740x740-1.jpg ! alt :  ! title : ban-ve-bon-inox-toan-my-2500l-dung-740x740-1.jpg ! desc :  ! caption : "
"Bồn nước inox 304 3000L đứng Toàn Mỹ TM304-3000Đ",TM304-3000Đ,"https://dev.vuahoanthien.com/wp-content/uploads/2022/12/bon-nuoc-inox-toan-my-3000l-dung-740x740-1.png ! alt :  ! title : bon-nuoc-inox-toan-my-3000l-dung-740x740-1.png ! desc :  ! caption :  | https://dev.vuahoanthien.com/wp-content/uploads/2022/12/bon-nuoc-inox-toan-my-3000l-dung-740x740-1.jpg ! alt :  ! title : bon-nuoc-inox-toan-my-3000l-dung-740x740-1.jpg ! desc :  ! caption :  | https://dev.vuahoanthien.com/wp-content/uploads/2022/12/ban-ve-bon-inox-toan-my-3000l-dung-740x740-1.jpg ! alt :  ! title : ban-ve-bon-inox-toan-my-3000l-dung-740x740-1.jpg ! desc :  ! caption : "
"Bồn nước inox 304 3500L đứng Toàn Mỹ TM304-3500Đ",TM304-3500Đ,"https://dev.vuahoanthien.com/wp-content/uploads/2022/12/bon-nuoc-inox-toan-my-3500l-dung-740x740-1.png ! alt :  ! title : bon-nuoc-inox-toan-my-3500l-dung-740x740-1.png ! desc :  ! caption :  | https://dev.vuahoanthien.com/wp-content/uploads/2022/12/bon-nuoc-inox-toan-my-3500l-dung-740x740-1.jpg ! alt :  ! title : bon-nuoc-inox-toan-my-3500l-dung-740x740-1.jpg ! desc :  ! caption :  | https://dev.vuahoanthien.com/wp-content/uploads/2022/12/ban-ve-bon-inox-toan-my-3500l-dung-740x740-1.jpg ! alt :  ! title : ban-ve-bon-inox-toan-my-3500l-dung-740x740-1.jpg ! desc :  ! caption : "
"Bồn nước inox 304 4000L đứng Toàn Mỹ TM304-4000Đ",TM304-4000Đ,"https://dev.vuahoanthien.com/wp-content/uploads/2022/12/bon-nuoc-inox-toan-my-4000l-dung-740x740-1.png ! alt :  ! title : bon-nuoc-inox-toan-my-4000l-dung-740x740-1.png ! desc :  ! caption :  | https://dev.vuahoanthien.com/wp-content/uploads/2022/12/bon-nuoc-inox-toan-my-4000l-dung-740x740-1.jpg ! alt :  ! title : bon-nuoc-inox-toan-my-4000l-dung-740x740-1.jpg ! desc :  ! caption :  | https://dev.vuahoanthien.com/wp-content/uploads/2022/12/ban-ve-bon-inox-toan-my-4000l-dung-740x740-1.jpg ! alt :  ! title : ban-ve-bon-inox-toan-my-4000l-dung-740x740-1.jpg ! desc :  ! caption : "
